Date (Switzerland),Price,Open,High,Low,Change %
2018-12-27,-0.162,-0.171,-0.162,-0.182,20.90%
2018-12-21,-0.134,-0.154,-0.134,-0.176,-19.28%
2018-12-20,-0.166,-0.123,-0.123,-0.170,34.96%
2018-12-19,-0.123,-0.112,-0.097,-0.156,9.82%
2018-12-18,-0.112,-0.096,-0.094,-0.139,27.27%
2018-12-17,-0.088,-0.079,-0.079,-0.139,3.53%
2018-12-14,-0.085,-0.070,-0.005,-0.139,37.10%
2018-12-13,-0.062,-0.064,-0.002,-0.076,16.98%
2018-12-12,-0.053,-0.029,-0.002,-0.094,-39.77%
2018-12-11,-0.088,-0.103,-0.009,-0.103,-41.72%
2018-12-10,-0.151,-0.156,-0.122,-0.156,5.59%
2018-12-07,-0.143,-0.155,-0.124,-0.157,-13.33%
2018-12-06,-0.165,-0.140,-0.132,-0.165,26.92%
2018-12-05,-0.130,-0.133,-0.124,-0.160,-12.16%
2018-12-04,-0.148,-0.103,-0.097,-0.151,38.32%
2018-12-03,-0.107,-0.098,-0.070,-0.111,12.63%
2018-11-30,-0.095,-0.090,-0.080,-0.102,6.74%
2018-11-29,-0.089,-0.065,-0.065,-0.092,53.45%
2018-11-28,-0.058,-0.082,-0.058,-0.088,-22.67%
2018-11-27,-0.075,-0.076,-0.061,-0.083,29.31%
2018-11-26,-0.058,-0.074,-0.052,-0.074,-25.64%
2018-11-23,-0.078,-0.060,-0.048,-0.078,32.20%
2018-11-22,-0.059,-0.049,-0.047,-0.067,34.09%
2018-11-21,-0.044,-0.042,-0.034,-0.051,-2.22%
2018-11-20,-0.045,-0.026,-0.025,-0.047,60.71%
2018-11-19,-0.028,-0.021,-0.010,-0.031,12.00%
2018-11-16,-0.025,-0.019,-0.015,-0.031,-16.67%
2018-11-15,-0.030,0.039,0.039,-0.032,"-1,600.00%"
2018-11-14,0.002,-0.002,0.032,-0.008,-66.67%
2018-11-13,0.006,0.004,0.011,-0.006,-250.00%
2018-11-12,-0.004,0.019,0.037,-0.010,-166.67%
2018-11-09,0.006,0.033,0.033,0.006,-78.57%
2018-11-08,0.028,0.020,0.051,0.020,47.37%
2018-11-07,0.019,0.006,0.033,0.006,26.67%
2018-11-06,0.015,0.009,0.022,0.003,87.50%
2018-11-05,0.008,0.014,0.016,0.002,-46.67%
2018-11-02,0.015,0.008,0.027,0.008,-600.00%
2018-11-01,-0.003,-0.014,0.009,-0.014,-72.73%
2018-10-31,-0.011,-0.025,-0.002,-0.025,-54.17%
2018-10-30,-0.024,-0.029,-0.010,-0.029,-14.29%
