Date (Sweden),Price,Open,High,Low,Change %
2020-06-06,0.049,0.049,0.049,0.049,0.00%
2020-06-05,0.049,0.060,0.073,0.037,15.29%
2020-06-04,0.043,0.025,0.045,0.004,123.68%
2020-06-03,0.019,0.020,0.020,-0.008,-246.15%
2020-06-02,-0.013,-0.030,-0.007,-0.036,13.04%
2020-06-01,-0.012,-0.038,-0.009,-0.039,-72.62%
2020-05-31,-0.042,-0.042,-0.042,-0.042,0.00%
2020-05-30,-0.042,-0.042,-0.042,-0.042,0.00%
2020-05-29,-0.042,-0.045,-0.026,-0.053,20.00%
2020-05-28,-0.035,-0.025,-0.016,-0.050,34.62%
2020-05-27,-0.026,-0.045,-0.008,-0.056,-17.46%
2020-05-26,-0.032,-0.040,-0.016,-0.040,-49.19%
2020-05-25,-0.062,-0.063,-0.050,-0.069,-3.13%
