Date,Price,Open,High,Low,Change %,Change_num,positive,negative,neutral,avg_positive,avg_negative,avg_neutral,custom_est
2020-11-24,0.8,0.785,0.803,0.785,1.85%,0.015,3.256252797320485,8.369358416646719,1.374388866126537,0.2504809844092681,0.6437968012805169,0.105722220471272,-0.3933158144480076
2020-11-25,0.8,0.801,0.807,0.787,0.00%,0.0,4.838464313186705,13.07909044250846,3.0824450571089983,0.2304030625327002,0.6228138305956409,0.1467830979575713,-0.3924107715609246
2020-11-26,0.805,0.813,0.813,0.774,0.62%,0.005,4.830973533913493,7.621875759214163,1.5471508828923106,0.345069538136678,0.5444196970867259,0.1105107773494507,-0.1993501564436472
2020-11-29,0.785,0.775,0.8,0.77,-2.61%,-0.02,3.942464025691152,1.8265854269266124,0.2309506256133315,0.6570773376151919,0.3044309044877687,0.0384917709355552,0.352646428529437
2020-11-30,0.795,0.775,0.803,0.771,1.40%,0.01,11.172518492210656,14.938449462875724,0.8890321254730211,0.4137969811929873,0.5532759060324343,0.03292711575826,-0.1394789244232862
2020-12-01,0.813,0.798,0.817,0.792,2.26%,0.0179999999999999,14.71365678589791,13.678868977352977,1.607474447228014,0.490455226196597,0.4559622992450992,0.0535824815742671,0.0344929267094966
2020-12-02,0.849,0.822,0.849,0.822,4.36%,0.036,4.227158008608967,5.030894473195076,0.741947645321488,0.4227158008608967,0.5030894473195076,0.0741947645321488,-0.0803736454368566
2020-12-03,0.831,0.853,0.854,0.828,-2.18%,-0.018,2.839235753752291,7.975432775914669,0.185331192798912,0.2581123412502082,0.7250393432649699,0.0168482902544465,-0.4669270137955054
2020-12-06,0.85,0.83,0.851,0.83,2.29%,0.019,3.794830907136202,0.2179970610886809,0.987172059714794,0.7589661814272404,0.0435994122177361,0.1974344119429588,0.7153667652120809
2020-12-07,0.84,0.85,0.85,0.833,-1.12%,-0.01,15.53466901089996,6.962840670719743,4.502489582635462,0.5753581115148134,0.2578829878044349,0.166758873430943,0.3174751323615151
2020-12-08,0.835,0.83,0.844,0.828,-0.65%,-0.005,5.556981443427503,8.038509039208293,1.4045098293572658,0.3704654295618335,0.5359006026138862,0.0936339886238177,-0.1654351696110776
2020-12-09,0.857,0.843,0.862,0.836,2.70%,0.022,6.1299895429983735,7.654376699589193,1.2156337862834332,0.4086659695332249,0.5102917799726129,0.0810422524188955,-0.1016258102437853
2020-12-10,0.863,0.851,0.864,0.851,0.64%,0.006,2.7394760446622963,8.969467401504517,3.291056727990508,0.1826317363108197,0.5979644934336344,0.2194037818660338,-0.4153327523005987
2020-12-13,0.85,0.872,0.872,0.846,-1.39%,-0.013,1.9006385216489436,3.319792490452528,0.7795688454061744,0.3167730869414906,0.5532987484087547,0.129928140901029,-0.2365256670844472
